"","created_at","screen_name","text"
"26",2019-08-20 17:47:06,"DrumnBass4ever1","I still fucked you even  #WhenYouWerentLooking your best, that's true love"
"27",2019-08-21 06:17:11,"Commander_Emu","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"28",2019-08-21 06:12:40,"kisameeeee","The Lungs of the planet are going up in flames #WhenYouWerentLooking
#PrayforAmazonia https://t.co/kNEc2NJPLZ"
"29",2019-08-21 06:00:14,"9_SiSenor","#WhenYouWerentLooking

<U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>    <U+230C> <U+23E0>    <U+2533><U+253B><U+2533><U+253B>
<U+253B><U+2533><U+253B>     <U+1555>( <U+275B>,<U+275B> )<U+1557>  <U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>     / <U+2323> \   <U+2533><U+253B><U+2533><U+253B>
 <U+0001D64A> <U+0001D64A> <U+0001D64A> <U+0001D643>  <U+0001D654> <U+0001D640> <U+0001D640> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D643>"
"30",2019-08-21 05:53:28,"Nutmegzy2","#WhenYouWerentLooking

<U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>    <U+230C> <U+23E0>    <U+2533><U+253B><U+2533><U+253B>
<U+253B><U+2533><U+253B>     <U+1555>( <U+275B>,<U+275B> )<U+1557>  <U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>     / <U+2323> \   <U+2533><U+253B><U+2533><U+253B>
 <U+0001D64A> <U+0001D64A> <U+0001D64A> <U+0001D643>  <U+0001D654> <U+0001D640> <U+0001D640> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D643>"
"31",2019-08-21 05:48:14,"ruthyone","#WhenYouWerentLooking I ate a piece of Parnell's banana cake. It was delicious!<U+0001F34C><U+0001F468><U+200D><U+0001F373>

https://t.co/B6n22ypPGM

#foodie #foodies #foodblog #foodblogger #foodbloggers #foodpics #bananas #cake #desserts #southernfood #TuesdayMotivation #TuesdayThoughts #TravelTuesday #ParnellTheChef https://t.co/kH4sV6bvqy"
"32",2019-08-21 05:40:34,"mayyaii1","#WhenYouWerentLooking I ate a piece of Parnell's banana cake. It was delicious!<U+0001F34C><U+0001F468><U+200D><U+0001F373>

https://t.co/B6n22ypPGM

#foodie #foodies #foodblog #foodblogger #foodbloggers #foodpics #bananas #cake #desserts #southernfood #TuesdayMotivation #TuesdayThoughts #TravelTuesday #ParnellTheChef https://t.co/kH4sV6bvqy"
"33",2019-08-21 05:38:08,"Obs_Skenae","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"34",2019-08-21 05:37:37,"cle86","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"35",2019-08-21 05:24:59,"ElGanspo","#WhenYouWerentLooking I ate a piece of Parnell's banana cake. It was delicious!<U+0001F34C><U+0001F468><U+200D><U+0001F373>

https://t.co/B6n22ypPGM

#foodie #foodies #foodblog #foodblogger #foodbloggers #foodpics #bananas #cake #desserts #southernfood #TuesdayMotivation #TuesdayThoughts #TravelTuesday #ParnellTheChef https://t.co/kH4sV6bvqy"
"36",2019-08-21 05:18:51,"mugikikaku","#WhenYouWerentLooking I ate a piece of Parnell's banana cake. It was delicious!<U+0001F34C><U+0001F468><U+200D><U+0001F373>

https://t.co/B6n22ypPGM

#foodie #foodies #foodblog #foodblogger #foodbloggers #foodpics #bananas #cake #desserts #southernfood #TuesdayMotivation #TuesdayThoughts #TravelTuesday #ParnellTheChef https://t.co/kH4sV6bvqy"
"37",2019-08-21 04:53:58,"claymobley","#WhenYouWerentLooking

<U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>    <U+230C> <U+23E0>    <U+2533><U+253B><U+2533><U+253B>
<U+253B><U+2533><U+253B>     <U+1555>( <U+275B>,<U+275B> )<U+1557>  <U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>     / <U+2323> \   <U+2533><U+253B><U+2533><U+253B>
 <U+0001D64A> <U+0001D64A> <U+0001D64A> <U+0001D643>  <U+0001D654> <U+0001D640> <U+0001D640> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D643>"
"38",2019-08-21 04:51:28,"IdahNielsen","#WhenYouWerentLooking I ate a piece of Parnell's banana cake. It was delicious!<U+0001F34C><U+0001F468><U+200D><U+0001F373>

https://t.co/B6n22ypPGM

#foodie #foodies #foodblog #foodblogger #foodbloggers #foodpics #bananas #cake #desserts #southernfood #TuesdayMotivation #TuesdayThoughts #TravelTuesday #ParnellTheChef https://t.co/kH4sV6bvqy"
"39",2019-08-21 04:48:04,"Emilyy0521","#WhenYouWerentLooking

<U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>    <U+230C> <U+23E0>    <U+2533><U+253B><U+2533><U+253B>
<U+253B><U+2533><U+253B>     <U+1555>( <U+275B>,<U+275B> )<U+1557>  <U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>     / <U+2323> \   <U+2533><U+253B><U+2533><U+253B>
 <U+0001D64A> <U+0001D64A> <U+0001D64A> <U+0001D643>  <U+0001D654> <U+0001D640> <U+0001D640> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D643>"
"40",2019-08-21 04:46:36,"smoliit","#WhenYouWerentLooking

<U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>    <U+230C> <U+23E0>    <U+2533><U+253B><U+2533><U+253B>
<U+253B><U+2533><U+253B>     <U+1555>( <U+275B>,<U+275B> )<U+1557>  <U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>     / <U+2323> \   <U+2533><U+253B><U+2533><U+253B>
 <U+0001D64A> <U+0001D64A> <U+0001D64A> <U+0001D643>  <U+0001D654> <U+0001D640> <U+0001D640> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D643>"
"41",2019-08-21 04:38:07,"HappyMcGhee","#WhenYouWerentLooking

<U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>    <U+230C> <U+23E0>    <U+2533><U+253B><U+2533><U+253B>
<U+253B><U+2533><U+253B>     <U+1555>( <U+275B>,<U+275B> )<U+1557>  <U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>     / <U+2323> \   <U+2533><U+253B><U+2533><U+253B>
 <U+0001D64A> <U+0001D64A> <U+0001D64A> <U+0001D643>  <U+0001D654> <U+0001D640> <U+0001D640> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D643>"
"42",2019-08-21 04:35:36,"egovivh","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"43",2019-08-21 03:43:13,"RickWrightNow","#WhenYouWerentLooking I stole your heart, your love and your wallet.

Might want to cancel those credit cards."
"44",2019-08-21 04:35:19,"RickWrightNow","#WhenYouWerentLooking I put baby powder in your hair dryer https://t.co/2tJrTXZruX"
"45",2019-08-21 04:23:14,"vinivinidogo","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"46",2019-08-21 04:14:54,"bezzaj","it didn't mean your eyes were closed #WhenYouWerentLooking https://t.co/Wjq9jY7jdz"
"47",2019-08-21 04:05:08,"Beaujolais007","Life happened #WhenYouWerentLooking"
"48",2019-08-21 04:05:07,"DeborahAKizziah","Fans of #OriginalRoswell - #WhenYouWerentLooking your original #MichaelAndMaria,(#MajandraDelfino #BrendanFehr) did a thing together.
Came up with a new show, #BaronAndToluca, &amp; filmed this promo. Let's get @netflix to give us more!
#Roswellians #Roswell
https://t.co/zwSvhrkIHF"
"49",2019-08-21 04:03:31,"kriselless","Fans of #OriginalRoswell - #WhenYouWerentLooking your original #MichaelAndMaria,(#MajandraDelfino #BrendanFehr) did a thing together.
Came up with a new show, #BaronAndToluca, &amp; filmed this promo. Let's get @netflix to give us more!
#Roswellians #Roswell
https://t.co/zwSvhrkIHF"
"50",2019-08-21 04:02:44,"crashdowncom","Fans of #OriginalRoswell - #WhenYouWerentLooking your original #MichaelAndMaria,(#MajandraDelfino #BrendanFehr) did a thing together.
Came up with a new show, #BaronAndToluca, &amp; filmed this promo. Let's get @netflix to give us more!
#Roswellians #Roswell
https://t.co/zwSvhrkIHF"
"51",2019-08-21 04:02:19,"NiteniteMelissa","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"52",2019-08-21 03:59:28,"KaiTheirin","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"53",2019-08-21 03:58:15,"BbyMikky","#WhenYouWerentLooking The cat took the car <U+0001F605> https://t.co/4zKMPz6aLv"
"54",2019-08-21 03:53:18,"maddy_c_29","#WhenYouWerentLooking

<U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>    <U+230C> <U+23E0>    <U+2533><U+253B><U+2533><U+253B>
<U+253B><U+2533><U+253B>     <U+1555>( <U+275B>,<U+275B> )<U+1557>  <U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>     / <U+2323> \   <U+2533><U+253B><U+2533><U+253B>
 <U+0001D64A> <U+0001D64A> <U+0001D64A> <U+0001D643>  <U+0001D654> <U+0001D640> <U+0001D640> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D643>"
"55",2019-08-21 03:49:45,"CaponeBrocato","#WhenYouWerentLooking

I stole your heart

Your mind was on your ... penis

30 Years Later

Together Still

Not a Lie has passed between Us

<U+0001F605><U+0001F602><U+0001F923>... I can’t even keep a straight face on THIS ONE<U+0001F605><U+0001F923><U+0001F602><U+0001F923><U+0001F605><U+0001F923><U+0001F602>"
"56",2019-08-21 03:39:02,"LanderClosetFan","#WhenYouWerentLooking I learned to Riverdance https://t.co/tZZaDQvy20"
"57",2019-08-20 22:06:26,"LanderClosetFan","#WhenYouWerentLooking I made garlic bread https://t.co/36Xu9nOe4s"
"58",2019-08-21 03:38:46,"DeoxysIndigo","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"59",2019-08-21 03:37:32,"TheCQC","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"60",2019-08-21 03:29:18,"audreystardust","#WhenYouWerentLooking I brought back Planters CHEEZ BALLS <U+203C><U+FE0F> https://t.co/Z03telgIRy"
"61",2019-08-21 03:28:12,"luv_mydachshund","#WhenYouWerentLooking I brought back Planters CHEEZ BALLS <U+203C><U+FE0F> https://t.co/Z03telgIRy"
"62",2019-08-21 03:24:00,"Rickjr2448883","#WhenYouWerentLooking I brought back Planters CHEEZ BALLS <U+203C><U+FE0F> https://t.co/Z03telgIRy"
"63",2019-08-21 03:18:25,"rockergrldz","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"64",2019-08-21 03:12:45,"vortexlb42","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"65",2019-08-21 02:56:09,"AsiyahR99","#WhenYouWerentLooking

<U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>    <U+230C> <U+23E0>    <U+2533><U+253B><U+2533><U+253B>
<U+253B><U+2533><U+253B>     <U+1555>( <U+275B>,<U+275B> )<U+1557>  <U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>     / <U+2323> \   <U+2533><U+253B><U+2533><U+253B>
 <U+0001D64A> <U+0001D64A> <U+0001D64A> <U+0001D643>  <U+0001D654> <U+0001D640> <U+0001D640> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D643>"
"66",2019-08-21 02:41:21,"bassoonist29","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"67",2019-08-21 02:38:50,"SeawordG","#WhenYouWerentLooking I may have spiked the communion wine with LSD. https://t.co/nNnJnPnmKV"
"68",2019-08-21 02:34:25,"sch_mittens","So hold up.. the Amazon, the biggest source of oxygen in the world.. has been on fire.. for THREE weeks.. and I'm just now hearing about it.. from Instagram?! #FuckTheMedia #WhenYouWerentLooking"
"69",2019-08-21 02:19:37,"FriskyChillieh","Jesus fucking Christ on a cracker!! The fuck is wrong with these “people” 

Oh I get it, they watch @seanhannity and listen to Alex jones &amp; @realDonaldTrump 

GET OFF MY LAWN #JewsAgainstTrump #ResistToExist #JewishResistance #WhenYouWerentLooking #WhiteSupremacistTerrorism <U+26A1><U+FE0F><U+0001F30E> https://t.co/e2DwsTSELh"
"70",2019-08-21 02:32:29,"FriskyChillieh","@melanchomical @JoanBloggs @leonardjcohen @mahasbeat @prudinx @Yeahnahtoyou @GoSmith1971 @Kynes3 @_An_Act_Of_Todd @reynardvi @WhistlingWhist @KingLouisRocks @MagikMilly @danteruker @DawnaLombardi @BA_Hore91 @ruckusman1999 @twtrrr @lhommedev @CannabisFairy69 @Left_in_Limbo @suzanne_cass @JeanRespendial @thebrewerchef1 @MurraySmythe @toecutter789 @elee_bella @elliemail @MsVeruca @ricklevy67 @lubiephil @LesStonehouse @RichardTuffin @fuzzi_mcapples @ReportOutage @AboutUAlwaze Exactly. I have way too many stalkers and I’m not sure it the want to kill me or f*ck me and hopefully not in that order but my god it feels like the whole is on fire. And I’m just here to watch the show. #AmericanSwamp #JewishResistance #WhenYouWerentLooking #NoTimeToDie https://t.co/19jMuXf4Rl"
"71",2019-08-21 02:31:43,"_balerion_","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"72",2019-08-21 02:24:00,"SuperNerdZeLoz","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"73",2019-08-21 02:23:08,"vijayhemas","#WhenYouWerentLooking I borrowed your booze. https://t.co/5BiG2LlaO2"
"74",2019-08-21 02:22:35,"momofiamcvind","#WhenYouWerentLooking

<U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>    <U+230C> <U+23E0>    <U+2533><U+253B><U+2533><U+253B>
<U+253B><U+2533><U+253B>     <U+1555>( <U+275B>,<U+275B> )<U+1557>  <U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>     / <U+2323> \   <U+2533><U+253B><U+2533><U+253B>
 <U+0001D64A> <U+0001D64A> <U+0001D64A> <U+0001D643>  <U+0001D654> <U+0001D640> <U+0001D640> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D643>"
"75",2019-08-21 02:19:18,"dmcByTheSea","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"76",2019-08-21 02:18:22,"RLEvans15","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"77",2019-08-21 02:14:48,"pizzapet1","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"78",2019-08-21 02:11:22,"TheTomColeman","#WhenYouWerentLooking I borrowed your booze. https://t.co/5BiG2LlaO2"
"79",2019-08-21 02:08:15,"borne_jimmy","#WhenYouWerentLooking
I smoked your weed."
"80",2019-08-21 02:07:19,"saffiemk","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
